model,year,price,transmission,fuelType,Make
 TT,2017,24995,4,Petrol,audi
 A3,2019,20985,4,Petrol,audi
 Q5,2016,31995,4,Diesel,audi
 A4,2015,13995,2,Diesel,audi
 A4,2020,31985,2,Petrol,audi
 A6,2019,29490,4,Diesel,audi
 A4,2019,20495,4,Petrol,audi
 Q3,2016,21995,4,Petrol,audi
 TT,2019,24995,4,Petrol,audi
 Q2,2018,23995,2,Petrol,audi
 Q3,2017,22995,4,Petrol,audi
 A3,2016,15995,2,Petrol,audi
 A3,2016,19995,4,Petrol,audi
 RS4,2013,26995,4,Petrol,audi
 Q8,2019,49995,4,Diesel,audi
 A1,2014,11995,2,Diesel,audi
 A1,2014,11995,2,Petrol,audi
 A5,2020,37331,4,Petrol,audi
 A5,2020,39454,4,Diesel,audi
 A5,2020,37507,4,Petrol,audi
 Q3,2020,33462,4,Diesel,audi
 Q5,2018,30995,4,Petrol,audi
 A4,2019,25990,2,Petrol,audi
 A8,2018,38995,4,Diesel,audi
 Q7,2016,31995,4,Diesel,audi
 A3,2019,30995,4,Petrol,audi
 A1,2019,18995,2,Petrol,audi
 A8,2018,41995,4,Diesel,audi
 A4,2016,19995,2,Diesel,audi
 A3,2016,16995,2,Petrol,audi
 A1,2017,14495,2,Petrol,audi
 Q3,2017,19995,2,Petrol,audi
 Q3,2017,23995,4,Petrol,audi
 A3,2016,13995,2,Petrol,audi
 A6,2017,27995,4,Diesel,audi
 Q5,2018,33995,4,Petrol,audi
 A3,2018,17490,2,Diesel,audi
 A3,2015,14990,4,Diesel,audi
 Q5,2016,30995,4,Diesel,audi
 A3,2017,13995,2,Petrol,audi
 Q7,2018,47995,4,Diesel,audi
 Q2,2018,21995,2,Petrol,audi
 Q2,2017,19995,4,Diesel,audi
 Q5,2017,26995,4,Petrol,audi
 A1,2017,15995,2,Diesel,audi
 A5,2015,18990,4,Diesel,audi
 A8,2018,35995,4,Diesel,audi
 A5,2018,27995,4,Diesel,audi
 A1,2019,23995,4,Petrol,audi
 A4,2020,31265,4,Petrol,audi
 A5,2020,36312,4,Diesel,audi
 A1,2017,13995,2,Petrol,audi
